timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5300,0.00,-0.83,0.77,-136.50,-0.80,12.76
5341,-0.00,-0.91,0.65,-122.52,-2.03,17.75
5392,-0.03,-0.94,0.58,-48.74,4.15,6.87
5443,0.00,-0.95,0.65,-14.87,-2.43,4.52
5494,-0.04,-0.95,0.58,-14.72,0.85,1.71
5545,-0.01,-0.98,0.65,9.85,-2.42,-0.30
5596,-0.03,-0.95,0.58,17.07,-1.75,0.69
5647,-0.01,-0.98,0.58,47.23,-2.58,0.68
5698,-0.02,-0.91,0.65,66.70,-5.83,-3.72
5749,-0.01,-0.87,0.77,123.53,-6.93,-7.39
5790,-0.01,-0.78,0.83,127.59,-5.52,-10.61
5841,-0.01,-0.67,0.83,179.83,-8.69,-12.28
5892,0.03,-0.50,0.96,188.45,-9.82,-17.02
5943,0.02,-0.27,0.96,212.03,-12.12,-15.09
5994,0.09,-0.06,1.09,238.54,-14.10,-22.84
6045,0.06,0.12,0.90,205.33,-9.19,-14.53
6097,0.03,0.30,0.90,228.94,-6.34,-16.21
6148,0.06,0.48,0.71,202.22,-9.28,-12.57
6199,0.05,0.60,0.65,141.20,3.39,1.14
6250,0.09,0.71,0.58,158.03,-0.76,0.63
6291,0.06,0.78,0.40,134.28,12.75,7.08
6342,0.05,0.84,0.40,141.63,1.47,2.56
6393,0.06,0.86,0.14,149.99,7.59,1.21
6444,0.01,0.76,0.08,93.14,0.48,1.46
6495,0.09,0.92,0.08,75.23,4.17,7.03
6546,0.03,0.83,0.08,44.12,-0.34,7.02
6597,0.10,0.88,0.02,-3.11,-9.03,-7.23
6648,0.04,0.83,0.02,-48.22,-5.18,-13.75
6699,0.00,0.81,0.08,-77.00,-4.79,-13.95
6750,0.03,0.88,0.14,-135.38,-6.16,-17.63
6791,0.02,0.82,0.14,-200.87,-14.65,-16.64
6842,0.02,0.78,0.40,-250.00,-19.65,-4.26
6893,0.00,0.55,0.58,-241.80,-18.76,-2.76
6944,0.06,0.43,0.83,-187.53,-13.66,5.46
6995,0.03,0.35,0.90,-192.16,-7.40,8.76
7046,0.03,0.20,0.96,-184.88,-9.23,8.57
7097,0.14,-0.01,1.02,-228.29,-2.18,15.27
7148,0.06,-0.27,0.90,-233.23,-0.57,17.85
7199,0.06,-0.49,0.96,-189.13,-2.81,19.65
7240,0.07,-0.62,0.90,-190.72,-0.71,19.31
7291,-0.00,-0.72,0.77,-142.26,-6.97,21.78
7343,0.09,-0.82,0.77,-119.77,-4.95,20.75
7394,-0.01,-0.91,0.65,-94.44,-5.20,15.70
7445,0.00,-0.98,0.71,-17.64,0.05,4.02
7496,0.00,-0.93,0.58,-10.19,-2.43,2.93
7547,-0.01,-0.90,0.65,-7.14,-1.16,0.20
7598,0.00,-0.96,0.65,-6.13,-2.13,0.43
7649,0.05,-0.95,0.65,-4.44,-0.24,0.02
7700,0.02,-0.97,0.58,8.06,-2.39,1.48
7741,-0.01,-0.98,0.65,51.64,-3.20,-0.98
7792,0.01,-0.87,0.71,190.02,-4.20,-10.12
7843,0.03,-0.76,0.83,204.52,-9.35,-11.95
7894,0.04,-0.48,0.96,249.99,-15.47,-25.36
7945,0.07,-0.31,1.02,244.54,-9.95,-21.34
7996,0.06,-0.00,0.90,225.21,-19.71,-10.19
8047,0.09,0.19,0.96,249.99,-13.61,-21.39
8098,0.07,0.38,0.77,213.12,-10.39,-8.09
8149,0.09,0.58,0.77,176.15,-1.43,-0.32
8200,0.09,0.70,0.58,167.30,-3.94,3.49
8241,0.09,0.72,0.58,155.70,0.25,4.49
8292,0.11,0.85,0.27,172.28,2.27,3.53
8343,0.09,0.81,0.27,81.58,-0.60,-2.85
8394,0.09,0.86,0.14,71.09,0.44,-2.38
8445,0.10,0.84,0.14,40.03,0.22,-0.43
8496,0.03,0.85,0.14,6.76,-3.45,-1.48
8547,0.09,0.86,0.14,-11.23,-1.54,-5.46
8598,0.08,0.83,0.14,-42.20,2.20,-6.06
8649,0.09,0.83,0.27,-94.68,-2.50,-14.34
8690,0.07,0.82,0.27,-177.63,-0.55,-13.12
8741,0.09,0.74,0.40,-166.44,-5.55,-6.26
8793,0.06,0.71,0.58,-160.64,-4.67,-10.24
8844,0.04,0.57,0.71,-172.68,-8.34,-4.57
8895,0.05,0.42,0.77,-154.08,-8.50,-5.76
8946,0.08,0.30,0.90,-201.55,-10.89,3.49
8997,0.06,0.13,0.96,-162.48,-2.27,1.61
9048,0.08,-0.00,1.02,-160.63,-11.15,8.35
9099,0.08,-0.12,1.02,-175.17,-4.99,16.22
9150,0.08,-0.31,0.96,-178.57,-5.54,21.60
9191,0.07,-0.47,0.90,-181.75,2.67,20.79
9242,0.08,-0.61,0.83,-167.43,-5.09,20.74
9293,0.05,-0.72,0.83,-109.94,-5.98,16.83
9344,0.04,-0.83,0.83,-48.03,0.77,7.00
9395,0.05,-0.84,0.77,-36.77,-1.04,7.02
9446,0.02,-0.84,0.71,-21.35,-1.43,4.23
9497,0.06,-0.83,0.71,-29.07,-2.85,6.11
9548,0.06,-0.88,0.77,-3.91,-1.57,0.92
9599,0.04,-0.86,0.71,7.54,-2.89,1.29
9640,0.05,-0.86,0.71,16.55,-1.54,2.72
9691,0.04,-0.85,0.71,70.00,-5.27,-3.16
9742,0.03,-0.68,0.77,135.17,-3.91,-8.19
9793,0.05,-0.63,0.90,174.44,-1.58,-6.90
9845,0.05,-0.40,0.96,222.51,-6.10,-16.68
9896,0.07,-0.26,1.02,230.99,-4.42,-16.12
9947,0.07,0.03,0.90,213.03,-10.43,-9.29


