timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.34,-0.02,-0.11,8.74,22.34,21.71
51,0.32,0.08,-0.04,-18.19,23.61,6.71
102,0.15,0.01,0.08,-37.97,10.12,20.90
143,0.23,-0.05,0.46,-14.44,4.44,7.45
194,0.51,-0.07,0.90,-46.56,22.11,42.36
245,0.45,-0.12,0.96,-63.96,31.36,18.77
296,0.28,-0.18,1.02,-15.54,48.23,-20.30
347,0.26,-0.16,0.96,-12.50,46.00,-14.98
398,0.22,-0.12,1.09,-29.05,47.68,-16.45
449,0.24,-0.22,1.09,-45.14,77.20,-32.75
500,0.17,-0.16,1.15,-41.42,71.98,-31.53
551,0.09,-0.18,1.09,-39.34,76.30,-23.08
592,0.10,-0.16,1.21,2.98,63.57,-4.44
643,0.05,-0.19,1.15,9.54,43.40,-2.10
694,-0.01,-0.16,1.21,-0.39,19.28,1.64
745,-0.03,-0.18,1.09,18.20,6.82,7.08
796,-0.01,-0.19,1.02,3.65,-0.25,4.40
847,0.02,-0.20,0.96,-2.22,-4.38,7.97
898,-0.02,-0.18,0.96,-8.69,-2.53,1.46
949,-0.01,-0.18,0.96,-3.95,2.76,-0.24
1000,-0.03,-0.18,1.02,-6.94,4.84,-1.85
1051,-0.03,-0.18,1.02,-8.58,6.50,-0.47
1092,-0.03,-0.19,1.02,-10.07,4.97,-2.32
1143,-0.05,-0.19,1.02,-15.95,5.79,-1.62
1195,-0.07,-0.22,1.09,-21.06,2.12,-1.37
1246,-0.23,-0.16,1.40,-37.77,-21.56,3.11
1297,-0.40,-0.16,2.09,13.21,-87.96,28.16
1348,-0.15,0.05,2.59,105.58,-239.58,42.77
1399,0.92,-0.49,1.65,54.10,-53.35,-11.51
1450,0.93,-0.63,0.46,79.02,64.11,-68.54
1501,0.48,-0.40,-0.17,74.92,87.61,-102.29
1552,-0.02,-0.08,-0.42,-44.77,92.89,28.51
1593,-0.17,0.02,-0.36,-42.51,50.71,27.44
1644,-0.35,0.00,-0.23,-32.34,8.32,-6.97
1695,0.06,-0.27,0.21,-35.91,-32.01,1.72
1746,0.35,-0.57,0.71,-54.95,-32.30,50.54
1797,0.36,-0.37,1.09,-1.10,-33.56,5.87
1848,0.03,-0.18,1.02,-46.14,-71.43,36.80
1899,0.09,-0.06,1.40,-46.36,31.01,-8.49
1950,0.03,-0.14,1.59,-68.07,78.99,-29.55
2001,0.11,-0.24,1.65,-55.96,128.46,-34.82
2042,0.01,-0.34,1.65,-4.11,51.40,-18.73
2093,-0.04,-0.35,1.21,17.39,18.45,-4.03
2144,-0.06,-0.19,1.02,32.53,0.85,-0.94
2195,-0.05,-0.14,1.02,24.84,-7.09,-3.51
2246,-0.02,-0.19,1.02,18.20,-2.85,0.56
2297,-0.05,-0.15,1.02,7.33,1.22,0.04
2348,-0.05,-0.14,1.09,-1.39,-5.86,1.40
2399,-0.01,-0.22,1.02,0.94,-6.03,0.40
2451,-0.05,-0.18,1.02,-6.60,-5.59,0.07
2502,-0.05,-0.22,0.96,0.08,-1.32,-1.50
2543,-0.03,-0.19,1.02,-4.55,0.00,1.03
2594,-0.05,-0.21,0.96,1.49,-0.83,-0.52
2645,-0.04,-0.17,1.02,-2.90,0.59,0.54
2696,-0.04,-0.20,1.02,3.88,0.07,0.48
2747,-0.03,-0.17,1.02,-4.28,1.66,0.72
2798,-0.05,-0.17,1.02,-3.72,1.70,1.04
2849,-0.03,-0.27,1.15,-11.61,-1.99,1.43
2900,-0.23,-0.15,1.59,-33.88,-33.37,10.12
2951,-0.28,-0.10,2.21,17.66,-95.95,50.68
3002,0.38,-0.07,2.59,59.69,-127.04,38.40
3043,0.60,-0.56,1.52,31.44,-23.67,13.40
3094,0.52,-0.66,0.46,27.33,61.39,13.50
3145,0.37,-0.42,-0.04,92.78,102.60,-34.15
3196,0.17,-0.05,-0.17,65.30,102.36,-39.89
3247,-0.31,0.07,-0.30,-14.98,43.22,4.95
3298,-0.45,0.19,-0.17,-31.40,-8.38,-3.00
3349,-0.04,-0.14,0.21,-40.94,-58.70,-5.19
3400,0.13,-0.45,0.71,-34.01,-68.34,26.54
3451,0.30,-0.23,1.02,3.95,-63.52,-0.31
3492,0.06,-0.24,1.02,-36.92,-107.28,22.63
3543,0.09,0.02,1.27,-24.48,0.45,-52.58
3594,-0.00,0.02,1.59,-98.99,58.85,-39.86
3645,0.05,-0.50,1.52,-102.23,113.93,-24.92
3696,-0.05,-0.36,1.59,-27.33,98.50,-5.84
3747,-0.08,-0.35,1.40,16.78,32.87,-6.23
3798,-0.09,-0.35,1.21,32.00,-2.27,1.79
3849,-0.07,-0.30,0.96,41.15,-12.92,2.88
3900,-0.10,-0.19,0.90,25.67,-7.71,0.91
3952,-0.08,-0.22,0.90,10.15,4.33,-3.64
3992,-0.10,-0.22,1.02,-0.36,-0.21,1.63
4044,-0.06,-0.20,1.02,1.46,1.34,-0.28
4095,-0.07,-0.23,1.02,4.04,-1.52,2.04
4146,-0.07,-0.22,1.02,-0.24,0.19,1.13
4197,-0.07,-0.18,0.96,1.50,0.78,1.83
4248,-0.08,-0.18,1.02,-3.00,1.63,0.69
4299,-0.09,-0.20,1.02,-3.63,4.79,-1.11
4350,-0.12,-0.21,1.15,-9.47,-2.37,1.95
4401,-0.31,-0.15,1.65,-6.53,-45.68,13.17
4452,-0.23,-0.09,2.21,46.64,-109.52,63.41
4493,0.17,0.48,2.78,6.80,-116.66,65.12
4544,0.37,-0.61,1.27,-20.52,-3.82,5.54
4595,0.46,-0.90,0.46,23.88,41.60,14.91
4646,0.41,-0.43,0.08,103.34,66.80,-32.02
4697,0.20,0.01,0.02,41.70,98.68,-7.12
4748,-0.32,0.08,-0.30,-27.50,38.52,28.00
4799,-0.35,-0.12,-0.11,-5.97,-1.14,-12.49
