timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.03,0.70,0.65,112.58,-1.16,7.09
51,0.03,0.66,0.52,149.28,-3.04,14.03
102,0.05,0.79,0.40,124.67,0.79,19.81
153,0.05,0.82,0.21,125.40,-0.10,21.45
204,0.08,0.84,0.14,118.51,-6.99,18.42
255,0.10,0.85,0.08,105.46,-5.20,20.65
306,0.09,0.79,0.02,39.63,-0.78,12.37
358,0.11,0.82,0.14,-20.74,-7.84,-6.97
398,0.10,0.86,0.02,-85.74,-7.72,-25.03
450,0.09,0.84,0.08,-75.71,-7.39,-18.99
501,0.08,0.84,0.14,-84.64,-8.39,-18.91
552,0.07,0.87,0.27,-155.60,-7.02,-30.72
603,0.04,0.81,0.40,-163.84,-3.50,-32.69
654,-0.04,0.69,0.52,-180.41,1.21,-30.42
705,-0.04,0.59,0.65,-177.61,4.76,-30.43
756,-0.04,0.49,0.83,-136.25,3.91,-21.88
807,-0.05,0.34,0.83,-144.36,3.88,-20.37
858,-0.08,0.19,0.90,-160.58,6.61,-10.28
899,-0.06,0.09,0.96,-156.02,-3.59,-7.60
950,-0.04,-0.01,1.02,-153.24,0.76,-5.84
1001,-0.03,-0.14,1.09,-209.48,12.98,-6.92
1052,-0.10,-0.39,0.90,-182.17,5.59,-2.62
1103,-0.09,-0.49,0.96,-128.63,4.26,2.15
1154,-0.10,-0.62,0.83,-123.90,3.63,5.79
1205,-0.08,-0.69,0.83,-112.30,5.89,9.14
1256,-0.11,-0.80,0.77,-97.35,4.22,-0.67
1307,-0.13,-0.89,0.77,-106.19,9.28,1.04
1358,-0.13,-0.93,0.71,-95.33,6.36,7.37
1399,-0.17,-0.96,0.52,-50.08,11.54,5.69
1450,-0.13,-0.93,0.52,0.06,-0.67,-3.32
1501,-0.16,-0.96,0.52,19.38,-7.73,-6.20
1552,-0.11,-0.98,0.58,20.29,-8.38,-5.19
1604,-0.13,-0.94,0.65,49.72,-9.99,-3.32
1655,-0.12,-0.91,0.65,81.02,-13.98,-11.00
1706,-0.13,-0.86,0.77,112.43,-6.76,-7.38
1757,-0.11,-0.73,0.83,133.00,-16.12,-10.59
1808,-0.05,-0.61,0.90,136.09,-13.72,-5.28
1849,-0.04,-0.48,0.90,154.74,-14.66,-7.80
1900,-0.02,-0.42,1.02,135.51,-11.15,-2.75
1951,-0.04,-0.23,1.02,156.36,-12.45,-4.99
2002,-0.01,-0.11,1.02,148.94,-10.88,2.06
2053,-0.02,0.03,0.96,156.59,-8.85,-3.48
2104,0.02,0.13,0.96,125.15,-4.97,4.52
2155,0.00,0.27,0.90,154.37,-6.64,5.92
2206,-0.01,0.41,0.90,106.95,-0.69,8.82
2257,0.01,0.47,0.77,131.98,-3.57,11.96
2308,0.01,0.60,0.71,106.82,-2.88,7.93
2349,0.00,0.58,0.65,131.23,-7.05,11.31
2400,0.05,0.70,0.52,119.12,-2.93,9.68
2451,0.03,0.77,0.46,114.65,-5.75,13.08
2502,0.06,0.81,0.33,122.66,-6.21,11.26
2553,0.04,0.83,0.21,128.67,-7.69,16.17
2604,0.09,0.87,0.14,108.20,-2.81,13.22
2655,0.07,0.82,0.02,63.39,-2.53,10.60
2706,0.07,0.81,0.02,24.67,-4.11,2.43
2757,0.10,0.87,0.14,-71.03,-8.00,-17.51
