timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4850,-0.04,-0.14,-0.99,-0.32,-0.95,-0.49
4901,-0.04,-0.14,-0.99,-0.66,-1.38,-0.06
4952,-0.04,-0.11,-0.99,-1.15,-1.61,-0.50
5004,-0.05,-0.13,-0.99,-1.23,-1.33,-0.34
5055,-0.04,-0.14,-0.99,-1.61,-1.89,0.14
5106,-0.04,-0.14,-0.99,-1.41,-1.52,-0.22
5157,-0.02,-0.14,-0.99,-1.44,-1.87,0.20
5208,-0.02,-0.10,-0.99,-2.14,-2.23,-0.31
5249,-0.04,-0.10,-0.99,-1.40,-2.14,-0.59
5300,-0.04,-0.13,-0.99,-1.28,-1.41,-0.97
5351,-0.03,-0.15,-0.99,-1.97,-0.97,-0.10
5402,-0.03,-0.15,-0.99,-0.58,-1.68,-0.30
5453,-0.02,-0.12,-0.99,-0.54,-1.83,0.32
5504,-0.03,-0.16,-0.99,-0.64,-1.25,-0.58
5555,-0.03,-0.15,-0.99,-0.05,-0.85,-0.28
5606,-0.02,-0.14,-0.99,-1.69,-2.30,-0.39
5657,-0.02,-0.13,-0.99,-0.65,-1.38,0.29
5698,-0.03,-0.11,-0.99,-0.29,-1.44,-0.16
5749,-0.04,-0.16,-0.99,-0.84,-0.91,-0.43
5800,-0.02,-0.11,-0.99,-0.95,-0.78,-0.03
5851,-0.05,-0.09,-0.99,-0.80,-2.10,-0.55
5902,-0.03,-0.13,-0.99,-0.94,-1.16,-0.45
5953,-0.04,-0.12,-0.99,-0.82,-1.04,0.11
6004,-0.01,-0.17,-0.99,-0.58,-1.17,-0.61
6055,-0.03,-0.12,-0.99,-0.69,-0.65,0.05
6106,-0.03,-0.14,-0.99,0.81,0.25,-0.24
6157,-0.02,-0.13,-0.99,-0.79,-1.01,-0.46
6198,-0.03,-0.13,-0.99,-1.82,-2.15,-1.23
6249,-0.04,-0.15,-0.99,0.03,0.01,0.03
6300,-0.03,-0.12,-0.99,-0.03,-1.34,-0.71
6351,-0.03,-0.14,-0.99,0.02,-0.66,-0.66
6403,-0.03,-0.16,-0.99,-0.81,-0.96,-0.50
6453,-0.01,-0.12,-0.99,-1.08,-1.64,0.09
6505,-0.02,-0.15,-0.99,-0.13,-1.15,-0.10
6556,-0.04,-0.13,-0.99,-1.45,-1.61,0.13
6607,-0.04,-0.14,-0.99,-1.14,-1.24,-0.48
6658,-0.03,-0.15,-0.99,-0.09,-1.10,0.13
6699,-0.05,-0.12,-0.99,-1.20,-1.46,-0.26
6750,-0.05,-0.16,-0.99,-0.16,-0.80,-0.53
6801,-0.03,-0.11,-0.99,-0.49,-0.59,0.47
6852,-0.01,-0.13,-0.99,0.09,-0.98,-0.78
6903,-0.02,-0.12,-0.99,-1.19,-1.32,0.11
6954,-0.06,-0.12,-0.99,0.15,-0.81,0.06
7005,-0.03,-0.12,-0.99,-0.95,-1.80,-0.38
7056,-0.03,-0.14,-0.99,-0.20,-1.98,-0.42
7107,0.00,-0.17,-0.99,-0.27,-1.32,-0.34
7148,-0.02,-0.15,-0.99,-1.48,-1.01,-0.21
7199,-0.05,-0.14,-0.99,-1.21,-1.14,-0.11
7250,-0.02,-0.14,-0.99,-0.76,-1.90,-0.99
7301,-0.02,-0.16,-0.99,-1.11,-1.85,0.24
7352,-0.03,-0.14,-0.99,-1.86,-2.13,-0.56
7403,-0.04,-0.13,-0.99,-1.17,-1.47,-0.32
7454,-0.02,-0.13,-0.99,-1.55,-1.94,-0.81
7505,-0.04,-0.16,-0.99,-1.33,-1.91,-0.66
7556,-0.04,-0.13,-0.99,-0.57,-1.43,-0.29
7607,-0.02,-0.14,-0.99,-0.82,-1.76,-0.23
7648,-0.03,-0.13,-0.99,-1.20,-1.37,-0.89
7699,-0.04,-0.14,-0.99,-1.17,-2.25,-0.60
7750,-0.02,-0.13,-0.99,-0.70,-1.68,-0.88
7802,-0.05,-0.14,-0.99,0.14,-1.73,-0.23
7853,-0.05,-0.10,-0.99,-1.43,-1.72,-0.01
7904,-0.06,-0.16,-0.99,-1.30,-1.67,-0.50
7955,-0.01,-0.10,-0.99,-1.28,-2.01,-0.21
8006,-0.06,-0.16,-0.99,-1.17,-1.72,-0.06
8057,-0.07,-0.09,-0.99,-0.94,-1.50,-0.39
8108,-0.03,-0.15,-0.99,0.25,-0.50,-0.50
8149,-0.04,-0.13,-0.99,-0.19,-1.53,-0.56
8200,-0.04,-0.15,-0.99,-1.05,-1.82,0.13
8251,-0.05,-0.12,-0.99,-1.08,-1.34,-0.14
8302,0.00,-0.13,-0.99,-1.70,-2.03,0.15
8353,-0.05,-0.13,-0.99,-1.32,-1.63,-0.32
8404,-0.03,-0.12,-0.99,-1.09,-2.01,-0.83
8455,-0.04,-0.13,-0.99,0.08,-0.76,-0.21
8506,-0.02,-0.14,-0.99,-1.34,-2.50,-0.47
8557,-0.04,-0.14,-0.99,-1.24,-2.14,-0.19
8598,-0.05,-0.13,-0.99,-0.92,-1.67,-0.60
