timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1.12,-0.06,0.77,0.24,-118.56,31.78
51,1.05,-0.15,0.96,-150.13,104.17,12.57
102,0.63,-0.27,1.21,-162.08,238.53,-5.92
153,0.20,-0.31,1.21,-130.13,143.46,-1.95
204,0.08,-0.45,1.09,-44.14,107.25,28.25
255,0.21,-0.38,1.59,7.71,88.96,42.96
306,0.05,-0.36,1.34,32.75,34.39,22.38
357,0.06,-0.45,1.02,33.77,16.70,1.87
408,0.12,-0.30,0.96,9.31,18.21,-1.53
449,0.03,-0.28,0.96,5.34,11.78,-5.97
500,0.02,-0.33,1.09,-1.78,10.81,-7.49
551,0.01,-0.26,1.02,-4.75,9.35,-2.06
602,0.00,-0.27,1.09,2.49,6.31,-0.90
653,-0.02,-0.28,1.09,-33.96,2.08,-0.69
704,-0.03,-0.32,1.09,-46.48,-5.40,-0.34
755,-0.07,-0.41,1.09,-27.08,-22.19,-6.81
806,-0.15,-0.32,1.52,17.56,-58.53,2.17
858,-0.01,-0.31,2.03,94.25,-134.58,-9.51
898,0.26,-0.39,2.09,143.81,-195.75,-12.41
950,1.27,-0.19,1.90,214.92,-187.51,-60.40
1001,0.97,-0.46,0.58,106.02,46.74,-64.67
1052,0.31,-0.30,-0.23,58.94,31.74,-56.63
1103,-0.37,-0.04,-0.48,53.61,5.37,-49.45
1154,-0.42,0.19,-0.30,-17.78,-11.39,23.62
1205,-0.48,-0.00,-0.36,-72.01,-30.77,45.45
1256,-0.12,-0.31,-0.17,-34.60,-43.69,59.54
1307,0.14,-0.36,0.46,-34.39,-61.85,85.30
1358,0.96,0.01,0.90,-0.58,-128.69,-1.95
1399,1.19,0.19,1.40,-98.83,3.75,8.83
1450,1.74,0.73,2.03,-163.55,249.99,-11.28
1501,0.59,-0.28,1.78,-173.70,140.96,46.47
1552,0.33,-0.46,1.27,-49.90,8.74,14.87
1603,0.29,-0.50,0.77,15.55,-7.19,-11.54
1654,0.36,-0.33,1.09,-2.98,-1.37,-1.17
1705,0.30,-0.35,0.83,-3.51,-1.80,7.23
1756,0.30,-0.35,0.90,-7.17,13.48,5.38
1807,0.27,-0.36,0.96,0.79,12.05,3.13
1858,0.29,-0.38,1.02,5.33,5.43,2.78
1899,0.28,-0.37,0.96,-3.83,1.98,3.23
1950,0.28,-0.34,0.96,5.61,1.91,-1.80
2002,0.28,-0.36,0.96,-2.33,0.28,0.76
2053,0.27,-0.41,0.90,7.39,2.82,-1.27
2104,0.26,-0.38,0.96,-0.88,3.13,0.80
2155,0.26,-0.34,0.96,0.11,-4.25,2.85
2206,0.27,-0.38,0.96,-6.91,-4.39,2.96
2257,0.25,-0.34,1.27,15.50,-25.32,0.64
2308,0.34,-0.24,1.90,57.47,-98.80,6.38
2349,0.92,-0.17,2.40,146.37,-169.11,7.12
2400,1.18,-0.52,1.78,94.57,29.05,-30.00
2451,0.94,-0.73,0.77,115.52,111.83,-59.43
2502,0.60,-0.41,0.02,77.98,159.50,-44.44
2553,-0.27,0.14,-0.48,-15.66,90.96,14.49
