timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5258,0.03,-0.24,1.02,-3.38,-1.71,-0.20
5299,0.04,-0.21,1.02,-1.26,-0.60,1.21
5350,0.05,-0.26,0.96,-0.98,-0.47,1.01
5401,0.03,-0.20,1.02,-0.03,0.44,-0.79
5452,0.01,-0.26,1.02,-3.58,0.17,0.08
5504,0.05,-0.25,0.96,-1.31,-0.27,-1.51
5555,0.02,-0.26,1.02,-5.49,1.92,-0.77
5606,0.04,-0.26,1.09,-8.27,-3.69,0.30
5657,-0.09,-0.12,1.40,-7.49,-27.43,8.50
5708,-0.25,-0.35,2.09,-45.85,-105.51,38.11
5759,0.23,-0.04,2.34,95.76,-215.28,62.61
5800,0.50,-0.25,1.96,42.14,-184.27,43.10
5851,0.19,-0.57,0.77,77.58,-140.35,7.86
5902,0.51,-0.57,0.14,30.40,-60.52,20.93
5953,0.44,-0.34,-0.30,28.19,8.66,-56.56
6004,0.28,-0.36,-0.48,-0.21,50.26,15.77
6055,-0.18,-0.02,-0.48,-3.70,50.50,32.51
6106,0.00,0.01,-0.11,-2.81,47.82,-17.29
6157,0.29,-0.19,0.58,-1.08,38.81,-5.03
6208,0.68,0.08,1.46,2.95,67.12,-66.88
6259,0.49,-0.15,1.09,-62.04,50.00,-24.04
6300,0.34,-0.25,1.15,-84.55,87.91,-16.96
6351,0.18,-0.66,1.15,-154.22,120.02,-7.04
6402,0.15,-0.72,1.27,-51.23,85.33,11.71
6453,-0.09,-0.26,1.40,-38.23,130.10,-16.25
6504,-0.22,-0.19,1.40,-9.12,93.98,-9.74
6555,-0.16,-0.32,1.21,40.39,7.90,-5.56
6606,-0.07,-0.41,1.09,42.48,8.06,-0.38
6657,-0.11,-0.34,1.15,44.35,4.38,6.98
6708,-0.11,-0.29,1.02,30.02,-3.68,6.84
6749,-0.11,-0.26,1.02,2.72,-6.75,1.87
6800,-0.10,-0.27,0.96,-1.49,-6.35,-0.29
6851,-0.10,-0.20,0.96,0.37,-3.33,-0.06
6902,-0.09,-0.23,1.02,-5.57,-0.99,0.26
6953,-0.10,-0.28,1.02,-2.65,-2.12,-0.37
7005,-0.10,-0.26,0.96,2.34,-1.43,4.33
7056,-0.10,-0.26,1.02,-0.44,-0.35,0.67
7107,-0.12,-0.22,1.02,0.79,-0.20,-0.39
7158,-0.06,-0.30,1.02,-4.43,-1.64,-1.66
7209,-0.10,-0.25,1.02,-1.99,0.17,-1.27
7250,-0.13,-0.28,1.02,-3.55,-1.46,-0.20
7301,-0.08,-0.26,0.96,-5.32,-2.05,-0.63
7352,-0.10,-0.24,1.02,-4.68,-0.30,-2.08
7403,-0.08,-0.26,1.02,-3.99,-0.10,-0.61
7454,-0.10,-0.24,1.02,-0.53,-0.73,-0.25
7505,-0.10,-0.27,1.02,-5.58,-0.67,-0.61
7556,-0.09,-0.27,1.02,-1.17,-0.21,-1.34
7607,-0.10,-0.30,1.02,-2.72,-1.21,0.84
7658,-0.16,-0.21,1.34,-2.98,-19.68,5.04
7709,-0.30,-0.17,1.65,21.88,-63.93,16.66
7750,-0.25,-0.16,1.78,50.07,-130.53,40.44
7801,-0.03,-0.26,1.65,85.91,-182.84,37.15
7852,0.14,-0.26,1.65,124.52,-184.85,25.40
7903,0.55,0.05,1.09,109.71,-161.58,4.65
7954,0.74,-0.43,0.27,4.55,-48.46,41.41
8005,0.31,-0.35,-0.23,10.07,-45.45,20.82
8056,0.34,-0.10,-0.23,28.82,-21.41,-81.80
8107,0.16,-0.15,-0.11,10.96,17.30,-19.45
8158,0.13,0.03,0.02,-7.08,36.38,-4.16
8199,0.40,-0.28,0.27,-1.72,42.91,1.34
8250,0.41,-0.10,0.52,-2.64,56.99,35.25
8301,0.55,0.07,0.77,3.68,-19.41,17.00
8353,0.50,0.22,0.83,-60.22,29.52,17.23
8404,0.14,-0.26,0.90,-131.95,131.92,-23.09
8455,0.19,-0.13,1.46,-173.46,186.46,-30.00
8506,-0.14,-0.38,1.46,-140.25,204.19,-40.15
8557,-0.12,-0.45,1.96,-59.82,72.48,-16.62
8608,-0.17,-0.45,1.34,-2.96,19.42,-9.25
8659,-0.13,-0.44,1.02,55.73,-13.24,-11.28
8700,-0.08,-0.47,0.96,40.37,-11.09,2.02
8751,-0.06,-0.35,1.02,34.95,-4.56,5.40
8802,-0.03,-0.35,0.90,17.10,-1.69,1.61
8853,-0.06,-0.32,0.96,17.81,0.79,1.63
8904,-0.08,-0.27,1.09,13.82,0.64,3.30
8955,-0.04,-0.21,0.90,6.68,-1.14,2.37
9006,-0.05,-0.23,1.02,5.56,1.03,-0.80
9057,-0.05,-0.33,1.02,3.67,-0.44,0.82
9108,-0.05,-0.25,1.02,4.10,-1.71,1.58
9149,-0.05,-0.23,1.02,3.31,-1.60,2.33
9200,-0.05,-0.27,1.02,-8.61,-2.94,0.64
9251,-0.05,-0.25,1.02,-7.82,-1.66,-1.59
9302,-0.07,-0.25,1.02,-7.74,-2.08,-2.14
9353,-0.08,-0.29,1.02,0.79,-1.18,0.50
9404,-0.05,-0.27,1.02,-4.84,-3.58,1.49
9456,-0.04,-0.27,0.96,3.26,-1.54,1.10
9506,-0.04,-0.27,1.02,-3.74,-0.87,-0.33
9558,-0.09,-0.25,1.02,-3.42,0.69,-1.17
9609,-0.06,-0.26,1.02,-3.65,0.70,-1.35
9650,-0.04,-0.28,1.02,-3.09,-1.85,-0.43
9701,-0.09,-0.30,1.02,-1.11,-1.14,0.92
9752,-0.08,-0.26,1.09,-3.03,-2.29,1.47
9803,-0.01,-0.28,1.09,-6.65,-4.41,1.46
9854,-0.04,-0.25,1.27,-22.48,-21.54,7.20
9905,-0.23,-0.26,1.46,-27.90,-58.65,11.37
9956,-0.26,-0.20,1.52,56.26,-111.00,25.54


