timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.02,-0.09,0.96,1.26,-0.31,-1.53
51,0.03,-0.11,1.02,-0.56,-1.40,0.46
102,-0.01,-0.08,1.02,7.29,-1.20,-1.75
153,-0.02,-0.03,0.96,78.13,-4.69,-0.73
204,0.02,0.00,1.09,181.46,-15.27,2.15
255,0.05,0.27,0.83,249.21,-26.86,2.84
306,0.06,0.44,0.90,249.99,-22.45,5.69
357,0.08,0.68,0.52,163.32,-14.02,8.72
398,0.10,0.69,0.52,188.28,-11.97,1.59
449,0.12,0.79,0.27,177.28,-10.39,7.80
500,0.12,0.83,0.21,221.88,-14.33,4.49
551,0.13,0.84,-0.04,229.56,-17.22,11.89
602,0.22,0.80,-0.17,198.59,-27.47,15.98
653,0.15,0.79,-0.36,97.31,-1.27,7.64
704,0.11,0.75,-0.30,-0.82,6.68,-9.81
755,0.13,0.84,-0.36,-39.60,0.37,-17.95
806,0.10,0.77,-0.30,-43.97,-2.04,-11.99
857,0.12,0.82,-0.30,-59.36,-4.46,-11.48
898,0.06,0.88,-0.17,-76.53,-3.65,-11.84
949,0.06,0.80,-0.11,-154.83,-3.63,-27.82
1001,0.07,0.89,-0.04,-178.02,-0.26,-31.27
1052,0.04,0.81,0.14,-198.46,-3.48,-29.04
1103,-0.01,0.76,0.27,-191.47,-5.07,-23.86
1154,-0.01,0.70,0.52,-184.23,0.40,-13.70
1205,0.03,0.55,0.71,-218.11,-0.21,-8.06
1256,-0.05,0.43,0.77,-181.37,-1.40,-5.68
1307,-0.03,0.30,0.90,-188.77,-1.29,-0.58
1348,0.01,0.21,1.02,-218.90,-3.30,-4.02
1399,-0.04,-0.06,0.90,-248.26,-3.74,-1.40
1450,0.01,-0.22,1.02,-233.70,-3.64,9.17
1501,0.08,-0.46,0.83,-246.70,-13.04,7.63
1552,-0.02,-0.66,0.83,-237.01,-28.46,13.35
1603,-0.02,-0.94,0.65,-213.49,-8.13,26.45
1654,-0.06,-0.96,0.58,-163.54,-11.15,15.88
1705,-0.05,-1.04,0.40,-143.87,3.84,16.40
1756,-0.10,-1.03,0.33,-79.59,8.51,1.48
1807,-0.09,-1.16,0.27,-4.21,7.29,-2.51
