timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5350,0.1,-0.5,0.96,-192.34,-8.68,19.76
5400,0.03,-0.69,0.83,-186.92,-9.64,17.08
5450,0.06,-0.83,0.71,-168.63,-14.61,18.48
5500,0.03,-0.93,0.65,-195.24,-15.05,29.16
5550,0.05,-1.03,0.52,-163.54,-5.91,24.64
5600,0.01,-1.07,0.4,-117.5,3.94,16.29
5650,-0.02,-1.07,0.27,-63.63,2.49,10.45
5700,0,-1.13,0.27,-9.65,-0.05,2.18
5750,-0.05,-1.15,0.27,41.65,-4.76,-2.13
5800,0.03,-1.1,0.4,109.76,-10.12,-12.08
5850,0,-0.97,0.46,164.51,-9.25,-10.11
5900,0.03,-0.93,0.65,240.06,-2.82,-26.22
5950,0.08,-0.83,0.71,218.42,-7.09,-10.57
6000,0.07,-0.61,0.9,223.24,-10.43,-24.78
6050,0.07,-0.46,0.96,215.99,-1.96,-13.01
6100,0.04,-0.16,0.96,249.99,-5.04,-21.94
6150,0.08,-0.05,1.02,212.97,-3.21,-11.24
6200,0.07,0.22,0.9,236.14,-15.21,-21.55
6250,0.08,0.36,0.83,198.19,-4.84,-5.58
6300,0.08,0.56,0.77,192.97,-8.87,-6.19
6350,0.1,0.69,0.46,170.43,-4.2,0.05
6400,0.1,0.72,0.52,163.52,-11.32,-2.14
6450,0.08,0.79,0.27,156.51,-3.35,1.43
6500,0.1,0.84,0.27,149.41,-11.25,-8.38
6550,0.1,0.87,0.08,118.88,-0.96,-3.32
6600,0.06,0.83,0.02,68.91,2.59,1.23
6650,0.05,0.83,0.02,36.21,-0.37,-1.61
6700,0.07,0.83,-0.04,-15.66,3.84,-4.59
6750,0.08,0.84,0.02,-72.22,2.43,-12.5
6800,0.08,0.86,0.08,-109.28,-4.83,-15.13
6850,0.01,0.83,0.14,-178.18,2.1,-10.88
6900,0.04,0.79,0.33,-189.65,-4.28,-8.12
6950,0.06,0.69,0.58,-220.22,-9.9,-5.99
7000,0.04,0.6,0.65,-192.96,-10.07,-8.59
7050,0.04,0.48,0.83,-194.1,-15.12,-9.32
7100,0.04,0.3,0.83,-224.31,-15.52,-3.75
7150,0.04,0.11,0.96,-178.04,-14.46,5.81
7200,0.06,-0.01,1.02,-205.5,26.86,8.51
7250,0.03,-0.25,1.02,-186.26,-6.85,13.22
7300,0.14,-0.39,0.96,-180.52,-16.66,20.97
7350,0.11,-0.59,0.9,-220.76,-9.48,20.86
7400,0.06,-0.73,0.77,-177.25,-12.24,24.93
7450,0.08,-0.81,0.71,-201.97,-11.4,31.93
7500,0.04,-0.95,0.46,-180.5,-10.51,32.99
